serail,ba _no,eng_hrs,vibration,coolant,oil_pre,predict,rul
39,87X1111H,500,284,65,8,480,469
36,87X1112H,600,290,75,8.4,431,518
,,,,,,,
36,87X1112H,764,354,74,8.4,670,279
36,87X1112H,411,299,75,9,455,494
,,,,,,,
36,87X1111H,445,314,80,9,477,472
,,,,,,,
36,87X1111H,445,314,80,9,477,472
,,,,,,,
36,87X1111H,445,314,80,9,477,472
,,,,,,,
36,87X1111H,445,314,80,9,477,472
36,87X1112H,524,294,80,8.5,415,534
,,,,,,,
36,87X1112H,524,294,80,8.5,415,534
,,,,,,,
36,87X1112H,524,294,80,8.5,415,534
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
36,,,,,,,
36,87X1112H,460.0,245,75,9,262,687
36,87X1112H,410.0,301,75,9,466,483
